Yahoo Symbol,Company Name,BSE Code
TRENT.NS,Trent Ltd,500251
LMW.NS,LMW Ltd,500252
LICHSGFIN.NS,LIC Housing Finance Ltd,500253
LUPIN.NS,Lupin Ltd,500257
LYKALABS.NS,Lyka Labs Ltd,500259
RAMCOCEM.NS,The Ramco Cements Ltd,500260
500262.BO,Hybrid Financial Services Ltd,500262
500264.BO,Mafatlal Industries Ltd,500264
MAHSEAMLES.NS,Maharashtra Seamless Ltd,500265
MAHSCOOTER.NS,Maharashtra Scooters Ltd,500266
500267.BO,Majestic Auto Ltd,500267
MANALIPETC.NS,Manali Petrochemicals Ltd,500268
500270.BO,Baroda Rayon Corporation Ltd,500270
MFSL.NS,Max Financial Services Ltd,500271
500277.BO,Mid India Industries Ltd,500277
MIRCELECTR.NS,Mirc Electronics Ltd,500279
CENTENKA.NS,Century Enka Ltd,500280
500282.BO,Modern Thread India Ltd,500282
500284.BO,Lords Chloro Alkali Ltd,500284
500285.BO,Spicejet Ltd,500285
MOREPENLAB.NS,Morepen Laboratories Ltd,500288
MRF.NS,MRF Ltd,500290
HEIDELBERG.NS,HeidelbergCement India Ltd,500292
NCC.NS,NCC Ltd,500294
VEDL.NS,Vedanta Ltd,500295
NAHARSPING.NS,Nahar Spinning Mills Ltd,500296
500298.BO,Naperol Investments Ltd,500298
GRASIM.NS,Grasim Industries Ltd,500300
PEL.NS,Piramal Enterprises Ltd,500302
NIITLTD.NS,NIIT Ltd,500304
500306.BO,Jaykay Enterprises Ltd,500306
500307.BO,Nirlon Ltd,500307
500312.BO,Oil and Natural Gas Corporation Ltd,500312
OILCOUNTUB.NS,Oil Country Tubular Ltd,500313
ORIENTHOT.NS,Oriental Hotels Ltd,500314
OSWALAGRO.NS,Oswal Agro Mills Ltd,500317
500319.BO,Indian Sucrose Ltd,500319
500322.BO,Panyam Cements & Mineral Industries Ltd,500322
RELIANCE.NS,Reliance Industries Ltd,500325
500327.BO,Pil Italica Lifestyle Ltd,500327
RAYMOND.NS,Raymond Ltd,500330
PIDILITIND.NS,Pidilite Industries Ltd,500331
PIXTRANS.NS,Pix Transmissions Ltd,500333
BIRLACORPN.NS,Birla Corporation Ltd,500335
SURYAROSNI.NS,Surya Roshni Ltd,500336
PRIMESECU.NS,Prime Securities Ltd,500337
PRSMJOHNSN.NS,Prism Johnson Ltd,500338
RAIN.NS,Rain Industries Ltd,500339
PRUDMOULI.NS,Prudential Sugar Corporation Ltd,500342
AMJLAND.NS,AMJ Land Holdings Ltd,500343
500346.BO,Punjab Communications Ltd,500346
RSWM.NS,RSWM Ltd,500350
RAJSREESUG.NS,Rajshree Sugars & Chemicals Ltd,500354
RALLIS.NS,Rallis India Ltd,500355
500356.BO,Shree Rama Newsprint Ltd,500356
500357.BO,Rama Paper Mills Ltd,500357
500360.BO,Rapicut Carbides Ltd,500360
500365.BO,Welspun Specialty Solutions Ltd,500365
500366.BO,Rolta India Ltd,500366
RUBFILA.NS,Rubfila International Ltd,500367
PATANJALI.NS,Patanjali Foods Ltd,500368
